"","x"
"1","nube"
"2","nube"
"3","nube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","cieloDespejado"
"11","nube"
"12","nube"
"13","multiNube"
"14","cieloDespejado"
"15","nube"
"16","multiNube"
"17","nube"
"18","nube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","multiNube"
"24","nube"
"25","nube"
"26","nube"
"27","nube"
"28","multiNube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","nube"
"35","nube"
"36","cieloDespejado"
"37","nube"
"38","multiNube"
"39","nube"
"40","nube"
"41","nube"
"42","multiNube"
"43","multiNube"
"44","cieloDespejado"
"45","cieloDespejado"
"46","multiNube"
"47","nube"
"48","nube"
"49","nube"
"50","multiNube"
"51","nube"
"52","multiNube"
"53","nube"
"54","nube"
"55","multiNube"
"56","nube"
"57","nube"
"58","nube"
"59","nube"
"60","multiNube"
"61","nube"
"62","multiNube"
"63","nube"
"64","cieloDespejado"
"65","nube"
"66","nube"
"67","nube"
"68","nube"
"69","nube"
"70","cieloDespejado"
"71","nube"
"72","nube"
"73","nube"
"74","nube"
"75","multiNube"
"76","multiNube"
"77","nube"
"78","cieloDespejado"
"79","nube"
"80","multiNube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","nube"
"88","cieloDespejado"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","multiNube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","multiNube"
"105","nube"
"106","nube"
"107","multiNube"
"108","nube"
"109","nube"
"110","multiNube"
"111","nube"
"112","nube"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","multiNube"
"120","nube"
"121","nube"
"122","nube"
"123","multiNube"
"124","nube"
"125","multiNube"
"126","nube"
"127","multiNube"
"128","nube"
"129","multiNube"
"130","nube"
"131","cieloDespejado"
"132","multiNube"
"133","nube"
"134","nube"
"135","cieloDespejado"
"136","multiNube"
"137","nube"
"138","multiNube"
"139","multiNube"
"140","nube"
"141","nube"
"142","multiNube"
"143","nube"
"144","nube"
"145","nube"
"146","nube"
"147","multiNube"
"148","nube"
"149","nube"
"150","multiNube"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","nube"
"158","nube"
"159","multiNube"
"160","multiNube"
"161","nube"
"162","nube"
"163","multiNube"
"164","multiNube"
"165","nube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","multiNube"
"173","nube"
"174","nube"
"175","multiNube"
"176","multiNube"
"177","nube"
"178","nube"
"179","nube"
"180","nube"
